calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201606,3073-NA,345114.65,4022,2016-06-01
201606,3946-0,295474.43,1091,2016-06-01
201606,4008-0,103259.8,4125,2016-06-01
201606,4166-0,207645.19,3132,2016-06-01
201606,4167-0,119547.01000000001,1728,2016-06-01
201606,4198-0,878978.0,10187,2016-06-01
201606,4199-0,2223835.03,22523,2016-06-01
201606,4309-0,1074079.3900000001,8505,2016-06-01
201606,4418-0,287784.13,3696,2016-06-01
201606,4421-0,304252.57,4077,2016-06-01
201606,4434-0,616043.71,4692,2016-06-01
201606,4467-0,954100.96,17730,2016-06-01
201606,4468-0,861636.41,15866,2016-06-01
201606,45989-0,804454.03,4704,2016-06-01
201606,4636-0,811111.18,33100,2016-06-01
201606,4639-0,118934.19,5387,2016-06-01
201606,4647-0,123672.3,11423,2016-06-01
201606,4648-0,25015.93,2739,2016-06-01
201606,4694-0,261113.97,20353,2016-06-01
201606,4734-0,186971.9,8349,2016-06-01
201606,4774-0,442862.75,38996,2016-06-01
201606,4775-0,122224.83,11545,2016-06-01
201606,5172-0,503463.01,1347,2016-06-01
201606,98993-0,444161.69,1835,2016-06-01
201606,98994-0,547274.6,2228,2016-06-01
201606,99042-NA,49031.909999999996,404,2016-06-01
201606,99517-LGR-1WA,2802.21,3,2016-06-01
201606,99517-LGR-1WT,930.81,1,2016-06-01
201606,99520-LGR-1WA,9555.67,10,2016-06-01
201606,99522-LG-1WA,4038.6000000000004,3,2016-06-01
201606,99522-LG-1WT,2208.93,2,2016-06-01
201606,99524-LG-1WA,11419.609999999999,10,2016-06-01
201606,99524-LG-1WT,1224.03,1,2016-06-01
201606,99530-LGR-1WA,2307.6000000000004,3,2016-06-01
201606,99533-LGR-1WA,26827.26,34,2016-06-01
201606,99535-LG-1WA,3525.4700000000003,4,2016-06-01
201606,99537-LG-1WA,1077.4,1,2016-06-01
201606,99537-LG-1WT,1101.85,1,2016-06-01
201606,99541-R-1WA,5308.5,10,2016-06-01
201606,99541-R-1WT,562.35,1,2016-06-01
201606,99543-R-1WA,1711.8000000000002,3,2016-06-01
201606,99543-R-1WT,611.2,2,2016-06-01
201606,99544-1WA,1923.6000000000001,3,2016-06-01
201606,99544-1WT,806.7,1,2016-06-01
201606,99548-1WA,4366.86,6,2016-06-01
201606,CB-CLW2026SS,89188.34999999999,966,2016-06-01
201607,10491-0,1872270.84,7683,2016-07-01
201607,10493-0,191466.77000000002,734,2016-07-01
201607,11464-0,2733507.27,21916,2016-07-01
201607,11499-0,2467922.0,16236,2016-07-01
201607,2967-BR1,39608.590000000004,445,2016-07-01
201607,3073-NA,178315.95,2058,2016-07-01
201607,3946-0,225758.26,830,2016-07-01
201607,4008-0,132037.71,5149,2016-07-01
201607,4166-0,139444.18,2151,2016-07-01
201607,4167-0,106570.49,1572,2016-07-01
201607,4198-0,752531.74,8800,2016-07-01
